Year,Asian Trade,Total Trade Volume,GDP,GDP Per Capita,GDP Change,GDP Per Capita Change,Asian Trade Change,Total Trade Volume Change
1815,0.239828694,467,3396403074.48,2707.451765,,,,
1816,0.530018762,1066,3235595206.78,2572.218659,-0.04734652,-0.049948482,1.209988944,1.282655246
1817,0.523148148,648,3267308659.97,2592.339057,0.009801428,0.007822196,-0.012962963,-0.392120075
1818,0.131958763,485,3318860725.22,2628.345192,0.015778144,0.013889439,-0.747760241,-0.25154321
1819,0.345337027,1083,3166012055.96,2500.713821,-0.04605456,-0.048559592,1.617007156,1.232989691
1820,0.715617716,858,3391063792.16,2675.125225,0.071083664,0.069744647,1.072229909,-0.207756233
1821,0.623888183,787,3323724309.07,2615.886144,-0.019857923,-0.022144414,-0.128182311,-0.082750583
1822,0.564179104,670,3354502163.12,2635.130531,0.00926005,0.007356737,-0.095704776,-0.14866582
1823,0.258687259,259,3519804576.63,2761.339854,0.049277778,0.047894904,-0.541480256,-0.613432836
1824,0.535064935,770,3495535636.81,2736.466357,-0.006894968,-0.009007764,1.068385346,1.972972973
1825,0.533742331,978,3407271615.40,2660.980693,-0.0252505,-0.027585088,-0.002471857,0.27012987
1826,0.756170981,1661,3461130991.63,2697.963662,0.015807186,0.013898248,0.416734137,0.698364008
1827,0.582914573,1592,3664677566.90,2851.980852,0.058809267,0.057086458,-0.229123324,-0.04154124
1828,0.455882353,884,3743226398.81,2908.031555,0.021434036,0.019653254,-0.217925963,-0.444723618
1829,0.506916192,1229,3749518003.53,2907.172077,0.001680797,-0.000295553,0.111945195,0.390271493
1830,0.491752577,970,3425789305.39,2648.508004,-0.08633875,-0.088974463,-0.029913455,-0.210740439
1831,0.678571429,756,3680963038.88,2841.202264,0.074486114,0.072755778,0.379904163,-0.220618557
1832,0.641463415,1230,3853337272.75,2968.896453,0.04682857,0.044943716,-0.054685494,0.626984127
1833,0.638062872,1177,3767309384.09,2896.292293,-0.022325554,-0.024454932,-0.005301227,-0.043089431
1834,0.807761194,1675,3800725307.39,2916.459584,0.008869971,0.006963141,0.265958622,0.423109601
1835,0.845559846,1813,3789690405.80,2902.195791,-0.002903367,-0.00489079,0.046794339,0.08238806
1836,0.82770375,3227,3914522701.71,2993.027226,0.032939972,0.031297487,-0.021117483,0.77992278
1837,0.73258427,1780,4006327739.15,3057.899311,0.023452422,0.021674405,-0.114919716,-0.44840409
1838,0.761757638,2913,4048259899.79,3084.237768,0.010466483,0.008613252,0.039822543,0.636516854
1839,0.846426761,3946,4046817718.74,3077.120726,-0.000356247,-0.002307553,0.111149687,0.354617233
1840,0.851923699,3093,4085478636.06,3100.82626,0.009553412,0.007703804,0.006494286,-0.216168272
1841,0.805095963,3022,4125671019.22,3125.638868,0.009837864,0.008001934,-0.054967054,-0.02295506
1842,0.840902517,3457,4025133472.60,3042.900875,-0.024368774,-0.026470746,0.044474889,0.143944408
1843,0.871331058,2930,3955267387.08,2983.722498,-0.017357458,-0.019448013,0.036185575,-0.152444316
1844,0.774101307,2448,3992314890.46,3006.158125,0.009366624,0.007519341,-0.111587611,-0.164505119
1845,0.83530572,3042,3963417830.75,2978.404108,-0.007238171,-0.009232388,0.07906512,0.242647059
1846,0.886742172,3002,3970129876.57,2977.730529,0.001693499,-0.000226154,0.061577996,-0.013149244
1847,0.854510451,3636,3996868111.77,2991.990778,0.006734852,0.004788965,-0.03634847,0.211192538
1848,0.828444444,4500,4062684103.10,3035.497086,0.016466891,0.014540923,-0.030504023,0.237623762
1849,0.890739051,4384,4183232742.11,3119.886006,0.029672166,0.027800692,0.07519467,-0.025777778
1850,0.765571914,4415,4261989719.75,3173.214219,0.018826822,0.017093001,-0.140520545,0.007071168
1851,0.773394495,3270,4323077081.85,3213.080245,0.014333062,0.012563295,0.010217958,-0.259343148
1852,0.743614614,3093,4273970689.97,3170.176847,-0.011359129,-0.013352731,-0.038505422,-0.05412844
1853,0.89228237,5468,4177808133.06,3092.448002,-0.022499583,-0.024518773,0.199925813,0.767862916
1854,0.917366947,1428,4432717499.67,3276.354432,0.061015097,0.05946953,0.028112823,-0.738844184
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
